PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
48,1,1,"Cumings, Mrs. John Bradley",male,26.1,0,0,STON/O2 707443,52.7434,,S
49,0,3,"Heikkinen, Miss. Laina",male,34.3,0,1,SOTON 545611,11.6094,D96,S
50,0,2,"Futrelle, Mrs. Jacques Heath",male,41.4,0,0,PC 531309,0,,S
51,0,3,"Allen, Mr. William Henry",female,,0,0,W/C 302951,7.7222,,S
52,0,3,"Moran, Mr. James",female,21.8,0,0,PC 313499,10.7712,,Q
53,0,3,"McCarthy, Mr. Timothy J",female,,0,0,SOTON 271855,16.1957,,S
54,0,1,"Palsson, Master. Gosta Leonard",female,34,0,1,A/5 589321,52.987,,S
55,1,1,"Johnson, Miss. Anna",male,26.5,0,0,CA 873910,35.1345,D17,S
56,0,1,"Williams, Mrs. Mary",female,52.5,0,0,CA 746147,12.0489,,S
57,0,3,"Brown, Miss. Elizabeth",male,36.9,0,0,A/5 222666,9.511,,S
58,0,3,"Davis, Mrs. Margaret",male,,1,0,W/C 266237,24.4125,,S
59,0,3,"Wilson, Miss. Emily",male,39.3,0,0,SOTON 715166,14.586,D56,S
60,0,3,"Smith, Mr. John",male,46.4,2,0,STON/O2 125501,18.4965,,Q
61,0,3,"Miller, Mr. Thomas",male,32.5,2,0,SOTON 617798,7.7347,,S
62,1,1,"Taylor, Mr. William",male,11.8,0,0,SOTON 623107,23.3558,,S
63,0,3,"Anderson, Mr. James",female,35.6,0,0,PC 236603,5.8567,,S
64,0,2,"Thomas, Mr. Charles",male,20.9,0,0,A/5 561591,23.9073,,S
65,0,2,"Braund, Mr. Owen Harris",male,22.6,1,0,W/C 515908,2.5661,D76,C
66,0,3,"Cumings, Mrs. John Bradley",male,,0,0,PC 524526,7.1114,,S
67,0,1,"Heikkinen, Miss. Laina",male,,0,0,W/C 396556,58.891,,S
68,1,1,"Futrelle, Mrs. Jacques Heath",female,30.3,0,0,SOTON 748075,32.4467,,S
69,0,3,"Allen, Mr. William Henry",male,34.3,1,0,PC 563345,0.5765,,S
70,0,1,"Moran, Mr. James",female,53.8,1,2,W/C 714348,90.4275,,S
71,0,3,"McCarthy, Mr. Timothy J",female,33.4,0,0,PC 270289,13.2683,D109,C
72,0,2,"Palsson, Master. Gosta Leonard",male,66.4,0,0,W/C 829155,33.7641,,C
73,0,2,"Johnson, Miss. Anna",male,37.9,0,0,STON/O2 417968,12.5077,,Q
74,1,2,"Williams, Mrs. Mary",female,5.3,0,0,STON/O2 732385,33.5491,,C
75,1,2,"Brown, Miss. Elizabeth",female,40.5,1,0,SOTON 737664,42.2047,,S
76,0,3,"Davis, Mrs. Margaret",female,35.3,0,0,A/5 633956,14.534,,S
77,1,2,"Wilson, Miss. Emily",female,48.1,0,0,A/5 505788,18.1382,,C
78,0,3,"Smith, Mr. John",male,39.4,0,2,A/5 842462,13.8487,D148,C
79,0,3,"Miller, Mr. Thomas",male,28.1,1,0,W/C 113789,9.1519,,C
80,0,3,"Taylor, Mr. William",male,,1,0,STON/O2 744766,8.1779,,S
81,1,3,"Anderson, Mr. James",female,27.1,0,1,A/5 845355,16.9971,,S
82,0,3,"Thomas, Mr. Charles",male,18.1,1,0,SOTON 186102,12.1866,,C
83,1,1,"Braund, Mr. Owen Harris",male,21.9,0,2,A/5 769821,123.3834,D66,C
84,1,1,"Cumings, Mrs. John Bradley",male,38.2,0,0,W/C 758596,64.0728,,Q
85,0,2,"Heikkinen, Miss. Laina",male,53.4,0,1,CA 78088,21.1618,,S
86,0,3,"Futrelle, Mrs. Jacques Heath",male,35.5,0,0,A/5 570955,9.6859,,S
87,1,1,"Allen, Mr. William Henry",female,13.3,0,0,CA 940989,39.6734,,S
88,0,3,"Moran, Mr. James",male,36.2,2,2,SOTON 928366,17.7644,,C
89,1,3,"McCarthy, Mr. Timothy J",female,46.8,0,0,CA 863380,25.7864,,S
90,0,2,"Palsson, Master. Gosta Leonard",male,,0,0,STON/O2 859312,20.6999,,S
91,0,3,"Johnson, Miss. Anna",male,28.1,0,0,A/5 902495,9.0191,,Q
92,1,1,"Williams, Mrs. Mary",female,30.2,0,0,PC 881650,53.1684,,S
93,1,1,"Brown, Miss. Elizabeth",female,19,1,0,CA 937827,55.5296,D57,C
94,0,3,"Davis, Mrs. Margaret",male,39.1,0,0,W/C 122266,22.6512,D147,S
95,0,3,"Wilson, Miss. Emily",female,28.3,0,0,CA 4679,8.7969,,C
96,0,3,"Smith, Mr. John",male,35.9,1,0,PC 565596,9.5762,,S
97,0,2,"Miller, Mr. Thomas",male,17.6,0,0,A/5 696202,11.046,,C
98,0,2,"Taylor, Mr. William",male,23.9,0,0,A/5 988036,28.3035,D4,Q
99,0,3,"Anderson, Mr. James",male,,0,0,STON/O2 530983,12.6067,,S
100,0,3,"Thomas, Mr. Charles",male,24.8,0,0,SOTON 583787,6.3475,,S
101,0,3,"Braund, Mr. Owen Harris",male,54.2,8,0,CA 718583,7.7769,,S
102,0,2,"Cumings, Mrs. John Bradley",male,24.4,1,0,CA 453532,42.2455,,S
103,0,3,"Heikkinen, Miss. Laina",male,33.1,0,0,SOTON 7764,13.1913,,C
104,0,2,"Futrelle, Mrs. Jacques Heath",male,43.1,1,0,A/5 639119,26.144,,S
105,1,1,"Allen, Mr. William Henry",female,,0,0,SOTON 295067,83.8035,D117,S
106,0,3,"Moran, Mr. James",male,,0,1,PC 883143,21.1586,,S
107,1,1,"McCarthy, Mr. Timothy J",male,8.6,0,0,SOTON 912345,42.3723,,C
108,1,3,"Palsson, Master. Gosta Leonard",female,47.7,0,0,CA 244772,10.6811,,Q
109,0,2,"Johnson, Miss. Anna",male,22.3,0,0,A/5 57440,23.0991,,S
110,0,1,"Williams, Mrs. Mary",male,65.8,0,1,PC 447021,18.0377,,S
111,0,3,"Brown, Miss. Elizabeth",male,22.1,2,2,A/5 646615,7.6406,D25,S
112,0,3,"Davis, Mrs. Margaret",male,32.6,0,0,A/5 902624,19.123,,S
113,1,3,"Wilson, Miss. Emily",female,51.6,0,0,CA 950192,17.4472,,S
114,0,3,"Smith, Mr. John",female,,0,1,STON/O2 817196,18.4818,,S
115,0,3,"Miller, Mr. Thomas",male,58.9,0,0,A/5 170573,9.5538,D50,S
116,0,3,"Taylor, Mr. William",female,46.9,0,0,W/C 135288,10.2757,,S
117,1,3,"Anderson, Mr. James",female,44.3,0,0,A/5 94778,2.5398,D15,S
118,0,2,"Thomas, Mr. Charles",male,38.3,1,0,A/5 649576,35.4843,,S
119,0,3,"Braund, Mr. Owen Harris",female,40.9,0,2,SOTON 111573,19.4154,,S
120,0,1,"Cumings, Mrs. John Bradley",male,22.3,0,5,STON/O2 936365,119.0212,,C
121,1,3,"Heikkinen, Miss. Laina",female,18.5,0,0,STON/O2 506349,22.3839,,S
122,0,3,"Futrelle, Mrs. Jacques Heath",female,30,0,0,A/5 19781,15.4693,,S
123,0,1,"Allen, Mr. William Henry",male,27.6,0,1,W/C 258506,136.0477,,S
124,0,3,"Moran, Mr. James",male,23.7,1,0,PC 416794,11.8272,D148,C
125,0,3,"McCarthy, Mr. Timothy J",male,39.7,0,0,STON/O2 893466,2.663,,Q
126,1,1,"Palsson, Master. Gosta Leonard",male,43.4,0,2,CA 555070,110.9861,D35,S
127,0,3,"Johnson, Miss. Anna",female,31.2,0,0,CA 673339,2.4472,,S
128,0,3,"Williams, Mrs. Mary",female,50.7,0,0,STON/O2 262161,13.9957,,S
129,1,1,"Brown, Miss. Elizabeth",male,14,0,0,STON/O2 525344,114.3917,,S
130,0,3,"Davis, Mrs. Margaret",male,,1,1,PC 396459,14.8969,,S
131,1,2,"Wilson, Miss. Emily",male,,0,0,W/C 712741,50.6302,D100,S
132,0,3,"Smith, Mr. John",male,3.9,1,0,SOTON 370841,1.4993,,S
133,0,3,"Miller, Mr. Thomas",male,,0,0,CA 21505,12.5153,,S
134,0,3,"Taylor, Mr. William",male,28.3,1,0,PC 558813,13.1021,,S
135,1,3,"Anderson, Mr. James",female,51.2,0,1,STON/O2 97008,5.137,,S
136,0,3,"Thomas, Mr. Charles",male,38.8,0,0,SOTON 727547,6.2507,,S
137,0,3,"Braund, Mr. Owen Harris",male,15.7,0,0,PC 327380,8.056,,S
138,0,2,"Cumings, Mrs. John Bradley",female,56,2,0,PC 135607,12.629,,S
139,0,3,"Heikkinen, Miss. Laina",male,47.1,0,3,W/C 739384,12.3682,,C
140,0,1,"Futrelle, Mrs. Jacques Heath",female,38.1,0,0,W/C 526196,58.2933,,S
141,0,3,"Allen, Mr. William Henry",female,26.8,0,2,CA 202225,14.8598,D134,S
142,1,1,"Moran, Mr. James",male,,1,0,A/5 96967,103.3795,D106,Q
143,0,1,"McCarthy, Mr. Timothy J",male,24.8,0,1,W/C 560367,100.944,,S
144,1,1,"Palsson, Master. Gosta Leonard",male,45.2,1,1,SOTON 112889,65.2355,D45,S
145,0,3,"Johnson, Miss. Anna",male,,0,0,PC 263063,14.6642,,S
146,0,2,"Williams, Mrs. Mary",male,51.6,0,3,CA 963824,36.6452,,C
147,1,3,"Brown, Miss. Elizabeth",male,23.2,0,0,STON/O2 353053,15.6066,,Q
148,0,1,"Davis, Mrs. Margaret",male,14.3,2,0,PC 424380,146.9232,,C
149,0,2,"Wilson, Miss. Emily",male,32,0,0,W/C 976323,36.0495,,S
150,0,3,"Smith, Mr. John",male,5.2,2,0,CA 2049,23.0527,D114,S
151,0,3,"Miller, Mr. Thomas",female,34.5,0,0,PC 306415,0,,S
152,0,2,"Taylor, Mr. William",male,27.9,0,0,PC 460567,26.0876,,S
153,0,3,"Anderson, Mr. James",male,23.5,0,0,STON/O2 59097,11.105,,S
154,0,3,"Thomas, Mr. Charles",male,7.7,0,0,W/C 288181,12.2689,,S
155,0,3,"Braund, Mr. Owen Harris",female,37.2,1,0,A/5 511708,8.291,D122,C
156,0,1,"Cumings, Mrs. John Bradley",male,22.5,2,0,PC 975687,94.2632,,S
157,1,1,"Heikkinen, Miss. Laina",female,13.6,1,0,W/C 825726,14.8992,D75,S
158,0,3,"Futrelle, Mrs. Jacques Heath",female,0.4,1,0,W/C 981013,15.3601,D31,S
159,0,1,"Allen, Mr. William Henry",male,29.6,0,0,STON/O2 583438,52.2184,,C
160,0,3,"Moran, Mr. James",female,54.8,0,0,SOTON 196543,10.0727,,C
161,0,3,"McCarthy, Mr. Timothy J",male,53.3,2,0,CA 773687,15.5652,,S
162,0,3,"Palsson, Master. Gosta Leonard",male,23.6,0,1,W/C 964265,13.4608,,S
163,0,3,"Johnson, Miss. Anna",male,21.6,1,2,W/C 624756,19.1654,,S
164,0,3,"Williams, Mrs. Mary",male,36.6,1,0,CA 959254,7.3284,,Q
165,0,2,"Brown, Miss. Elizabeth",male,16,0,0,STON/O2 939760,24.0921,,S
166,0,3,"Davis, Mrs. Margaret",female,34.2,4,2,PC 517304,18.1993,,S
167,0,2,"Wilson, Miss. Emily",male,40.7,0,1,STON/O2 527748,29.0635,,S
168,0,3,"Smith, Mr. John",male,47.2,0,0,SOTON 842130,15.4897,,S
169,0,3,"Miller, Mr. Thomas",male,28.6,0,2,W/C 889178,19.4821,,C
170,0,3,"Taylor, Mr. William",male,27.1,0,0,PC 33175,10.6235,,S
171,0,3,"Anderson, Mr. James",female,17.7,0,0,CA 437374,9.3915,,S
172,0,3,"Thomas, Mr. Charles",male,,0,0,A/5 682336,16.369,,S
173,0,2,"Braund, Mr. Owen Harris",male,26.8,1,0,SOTON 341822,23.3189,D32,S
174,0,2,"Cumings, Mrs. John Bradley",male,,2,0,W/C 511559,37.6248,,Q
175,0,3,"Heikkinen, Miss. Laina",male,42.8,0,0,SOTON 974169,15.1632,,S
176,1,1,"Futrelle, Mrs. Jacques Heath",male,18.8,0,0,STON/O2 247464,57.5594,,C
177,0,1,"Allen, Mr. William Henry",female,50.9,2,1,PC 960468,92.1818,,C
178,0,2,"Moran, Mr. James",male,26.2,0,1,SOTON 116064,14.8446,,S
179,1,2,"McCarthy, Mr. Timothy J",female,29.7,0,0,SOTON 54365,35.6529,,S
180,0,2,"Palsson, Master. Gosta Leonard",male,,0,1,SOTON 918947,9.282,,S
181,0,1,"Johnson, Miss. Anna",male,0.4,0,1,STON/O2 422396,123.9943,,C
182,0,1,"Williams, Mrs. Mary",male,42.4,0,1,CA 962169,91.5516,D78,S
183,1,1,"Brown, Miss. Elizabeth",female,40.3,2,0,SOTON 360221,74.0758,,S
184,1,3,"Davis, Mrs. Margaret",female,,0,0,PC 69247,17.4655,,S
185,0,2,"Wilson, Miss. Emily",male,30.9,0,2,SOTON 154560,30.7524,,C
186,1,2,"Smith, Mr. John",female,,0,0,CA 510627,39.9668,,S
187,0,3,"Miller, Mr. Thomas",female,8.1,0,0,A/5 291042,20.7282,,S
188,0,1,"Taylor, Mr. William",male,22.6,0,0,W/C 97707,92.6825,,S
189,0,3,"Anderson, Mr. James",male,41.1,1,0,PC 48003,7.9001,D95,S
190,0,3,"Thomas, Mr. Charles",male,12.4,1,0,STON/O2 964750,9.8322,,C
191,1,1,"Braund, Mr. Owen Harris",male,34.1,0,0,PC 584318,77.4207,,S
192,0,2,"Cumings, Mrs. John Bradley",female,11,1,0,W/C 396215,37.1694,,C
193,0,3,"Heikkinen, Miss. Laina",female,36.5,1,1,PC 470655,10.3301,D69,S
194,0,3,"Futrelle, Mrs. Jacques Heath",male,29.5,1,1,A/5 507220,10.8183,,S
195,0,3,"Allen, Mr. William Henry",male,7.4,0,0,A/5 792877,23.8129,D5,S
196,0,3,"Moran, Mr. James",male,46.3,0,2,SOTON 674400,12.3899,,S
197,1,1,"McCarthy, Mr. Timothy J",female,19.7,0,0,SOTON 982819,57.1497,D91,S
198,0,3,"Palsson, Master. Gosta Leonard",female,18.7,0,0,PC 792644,17.5434,,S
199,1,1,"Johnson, Miss. Anna",female,32.8,0,0,CA 581526,77.9792,,S
200,1,3,"Williams, Mrs. Mary",female,,0,1,STON/O2 317015,4.8708,D15,S
201,0,3,"Brown, Miss. Elizabeth",male,15.8,1,2,A/5 471938,19.0893,D105,S
202,0,3,"Davis, Mrs. Margaret",male,30.9,1,0,W/C 136467,8.6298,,C
203,0,3,"Wilson, Miss. Emily",male,36,1,1,STON/O2 409506,13.255,D72,S
204,1,1,"Smith, Mr. John",female,39.7,0,0,CA 401686,77.547,,S
205,1,1,"Miller, Mr. Thomas",male,32.5,1,0,PC 103652,88.2836,,S
206,0,1,"Taylor, Mr. William",male,24.9,0,0,W/C 581061,1.1213,,C
207,0,1,"Anderson, Mr. James",male,18.4,0,0,A/5 520846,67.9364,,C
208,1,3,"Thomas, Mr. Charles",female,31.2,0,0,SOTON 906375,19.5803,D134,S
209,1,2,"Braund, Mr. Owen Harris",male,15,0,1,A/5 770189,39.2363,,C
210,0,1,"Cumings, Mrs. John Bradley",male,0.4,0,0,SOTON 790770,44.3135,,S
211,0,3,"Heikkinen, Miss. Laina",male,36.1,1,0,PC 137559,18.3855,,S
212,1,3,"Futrelle, Mrs. Jacques Heath",female,42.7,0,0,STON/O2 227137,8.5456,,C
213,1,3,"Allen, Mr. William Henry",female,0.4,1,0,CA 995320,10.809,,C
214,0,3,"Moran, Mr. James",male,15.9,0,1,CA 160876,11.1164,D75,S
215,1,1,"McCarthy, Mr. Timothy J",female,38.7,0,0,CA 274302,83.9169,,C
216,0,2,"Palsson, Master. Gosta Leonard",male,58.8,0,0,W/C 11547,36.2654,,S
217,0,3,"Johnson, Miss. Anna",male,,0,1,PC 265603,14.5478,,C
218,0,3,"Williams, Mrs. Mary",female,19.8,0,0,A/5 64146,12.2621,,S
219,1,1,"Brown, Miss. Elizabeth",male,27.4,0,0,PC 969374,114.8232,,S
220,0,3,"Davis, Mrs. Margaret",female,49.2,0,0,PC 366871,8.3044,D62,S
221,1,1,"Wilson, Miss. Emily",female,21,0,0,SOTON 83970,77.2202,,S
222,0,1,"Smith, Mr. John",male,18.8,0,0,PC 170319,115.8481,,S
223,0,3,"Miller, Mr. Thomas",male,23.2,1,0,CA 560865,16.0964,,S
224,0,3,"Taylor, Mr. William",male,16.7,0,1,PC 923180,10.2721,,S
225,0,3,"Anderson, Mr. James",male,,1,1,PC 443900,4.1492,,S
226,0,1,"Thomas, Mr. Charles",male,,0,0,W/C 681834,91.1909,,S
227,0,3,"Braund, Mr. Owen Harris",female,,2,0,W/C 782160,3.7648,,S
228,0,2,"Cumings, Mrs. John Bradley",male,,1,1,SOTON 73828,22.6094,D79,S
229,0,1,"Heikkinen, Miss. Laina",female,,0,0,PC 352206,122.4421,,C
230,0,3,"Futrelle, Mrs. Jacques Heath",male,8.1,0,0,A/5 221073,16.491,,C
231,0,3,"Allen, Mr. William Henry",female,42.4,1,0,CA 224393,1.1616,,C
232,0,3,"Moran, Mr. James",male,28.9,0,1,PC 859899,14.1726,,S
233,0,3,"McCarthy, Mr. Timothy J",male,27.5,0,0,A/5 985131,11.1329,,C
234,0,3,"Palsson, Master. Gosta Leonard",male,74.7,0,0,SOTON 410579,5.5488,D13,S
235,0,3,"Johnson, Miss. Anna",male,34.2,1,0,STON/O2 453220,14.9599,,S
236,0,1,"Williams, Mrs. Mary",female,,1,1,PC 54806,62.2974,,S
237,0,2,"Brown, Miss. Elizabeth",male,24,0,0,SOTON 601280,19.5377,,C
238,0,2,"Davis, Mrs. Margaret",male,,0,3,A/5 342115,26.3955,,S
239,0,2,"Wilson, Miss. Emily",male,31.6,0,0,SOTON 174217,17.9588,,S
240,0,3,"Smith, Mr. John",male,9.9,0,0,A/5 311725,13.5601,D85,S
241,1,3,"Miller, Mr. Thomas",female,42.9,3,0,PC 881077,9.529,D53,C
242,1,1,"Taylor, Mr. William",female,20.6,0,0,STON/O2 70837,60.6154,,S
243,1,1,"Anderson, Mr. James",female,56.2,0,2,A/5 219811,115.7455,,S
244,0,3,"Thomas, Mr. Charles",male,,0,0,STON/O2 640068,19.4038,,S
245,0,1,"Braund, Mr. Owen Harris",male,23.7,1,1,PC 811448,18.4884,,S
246,0,3,"Cumings, Mrs. John Bradley",female,47.9,0,0,STON/O2 323666,17.3704,,S
247,0,3,"Heikkinen, Miss. Laina",male,30.9,0,0,A/5 992596,21.1818,,S
248,1,3,"Futrelle, Mrs. Jacques Heath",female,41.9,0,0,SOTON 113099,22.1107,,C
249,1,3,"Allen, Mr. William Henry",female,,0,0,W/C 789356,16.0442,,S
250,0,3,"Moran, Mr. James",female,18.2,0,3,CA 579621,6.8142,,S
251,0,2,"McCarthy, Mr. Timothy J",male,21,0,0,STON/O2 178171,32.0873,,S
252,0,3,"Palsson, Master. Gosta Leonard",male,44.4,0,0,STON/O2 651660,7.9149,,S
253,1,3,"Johnson, Miss. Anna",female,25.3,2,0,PC 968566,10.9937,,S
254,0,2,"Williams, Mrs. Mary",male,24.3,1,0,STON/O2 351639,29.3097,,S
255,0,3,"Brown, Miss. Elizabeth",male,,3,0,SOTON 668567,8.2922,D77,S
256,0,3,"Davis, Mrs. Margaret",male,35.9,0,1,STON/O2 531624,6.2936,D142,C
257,1,3,"Wilson, Miss. Emily",female,,2,0,A/5 731526,15.7248,D86,S
258,1,3,"Smith, Mr. John",female,15.1,0,0,A/5 755805,23.9233,,S
259,0,3,"Miller, Mr. Thomas",male,30.3,0,0,PC 500920,20.2729,D52,C
260,0,3,"Taylor, Mr. William",male,49.8,0,3,PC 46704,17.137,D63,S
261,0,3,"Anderson, Mr. James",male,28.9,0,0,W/C 343135,18.7282,,C
262,0,3,"Thomas, Mr. Charles",female,36.3,1,0,STON/O2 341492,16.7307,,S
263,0,3,"Braund, Mr. Owen Harris",male,,0,0,SOTON 168848,15.6319,D39,S
264,0,3,"Cumings, Mrs. John Bradley",male,,0,0,SOTON 472808,18.2569,,C
265,0,3,"Heikkinen, Miss. Laina",female,27.4,0,0,A/5 925159,4.9951,,S
266,1,1,"Futrelle, Mrs. Jacques Heath",female,43.8,0,0,CA 79563,87.1815,,S
267,0,3,"Allen, Mr. William Henry",female,46.6,0,1,CA 689649,12.5265,,C
268,0,3,"Moran, Mr. James",female,66.3,0,0,CA 100704,13.4616,,S
269,0,1,"McCarthy, Mr. Timothy J",male,38.1,1,1,W/C 916589,63.3906,,S
270,0,3,"Palsson, Master. Gosta Leonard",male,34.6,1,0,STON/O2 324831,16.0449,,S
271,1,1,"Johnson, Miss. Anna",female,32.7,0,0,CA 751909,50.5546,D97,C
272,1,2,"Williams, Mrs. Mary",female,25.1,0,0,CA 905367,18.9941,,Q
273,0,3,"Brown, Miss. Elizabeth",female,34.7,0,0,STON/O2 923285,9.1748,,S
274,1,1,"Davis, Mrs. Margaret",female,25.9,1,0,A/5 505393,111.1021,,S
275,0,3,"Wilson, Miss. Emily",male,32.4,0,0,CA 741749,12.9314,,C
276,0,3,"Smith, Mr. John",male,48.4,0,0,W/C 984682,10.3041,,S
277,1,3,"Miller, Mr. Thomas",female,15.9,0,0,A/5 675292,10.8154,,S
278,1,1,"Taylor, Mr. William",male,,0,5,W/C 615769,80.1397,,S
279,0,2,"Anderson, Mr. James",female,48.4,0,0,STON/O2 794981,43.2495,,C
280,0,3,"Thomas, Mr. Charles",female,28.3,1,2,W/C 681722,5.7664,,C
281,0,3,"Braund, Mr. Owen Harris",female,,0,0,STON/O2 47539,16.9517,,S
282,1,3,"Cumings, Mrs. John Bradley",male,21.5,0,0,W/C 973100,15.7604,,S
283,0,2,"Heikkinen, Miss. Laina",male,48.2,1,0,PC 417232,15.0666,,S
284,0,3,"Futrelle, Mrs. Jacques Heath",male,29.7,1,0,A/5 474484,21.5812,,
285,0,3,"Allen, Mr. William Henry",male,16,0,0,STON/O2 128922,16.1548,,S
286,0,3,"Moran, Mr. James",male,22.9,0,0,STON/O2 305751,10.0298,,C
287,0,1,"McCarthy, Mr. Timothy J",male,,0,2,W/C 13823,13.0611,D22,S
288,0,3,"Palsson, Master. Gosta Leonard",male,,2,1,STON/O2 646970,14.3405,,C
289,0,3,"Johnson, Miss. Anna",male,26.7,0,0,W/C 511119,12.7382,,S
290,0,3,"Williams, Mrs. Mary",male,,2,0,W/C 251476,6.9703,,S
291,1,2,"Brown, Miss. Elizabeth",male,24.5,1,0,CA 55973,13.2593,,S
292,0,3,"Davis, Mrs. Margaret",male,17.1,0,0,PC 671050,18.0808,,S
293,0,3,"Wilson, Miss. Emily",female,,0,0,CA 583176,1.5592,,S
294,1,1,"Smith, Mr. John",male,,0,2,SOTON 87839,91.3142,,Q
295,0,3,"Miller, Mr. Thomas",male,47,0,0,CA 168605,11.9035,,C
296,0,3,"Taylor, Mr. William",male,51.3,0,0,STON/O2 517754,15.9084,,S
297,1,1,"Anderson, Mr. James",female,,0,0,STON/O2 102131,69.405,,S
298,0,2,"Thomas, Mr. Charles",male,,3,0,STON/O2 713261,28.2993,,Q
299,0,3,"Braund, Mr. Owen Harris",male,35.7,0,0,CA 984770,8.6548,,S
300,1,1,"Cumings, Mrs. John Bradley",male,,1,0,A/5 959872,78.2286,,S
301,0,3,"Heikkinen, Miss. Laina",male,17.3,0,0,PC 639210,15.8611,,S
302,0,2,"Futrelle, Mrs. Jacques Heath",male,34.5,0,0,STON/O2 595003,26.6973,,Q
303,0,3,"Allen, Mr. William Henry",male,13.5,0,0,CA 598654,15.2248,,S
304,1,1,"Moran, Mr. James",male,46.6,0,4,STON/O2 482193,46.5948,,S
